Name,Class,Reg. No,Age
Bob,II M.Sc(M),38470,27
Bob,I M.Tech,79738,25
David,B.Sc(Hons),42934,24
Alice,I M.Tech,97091,20
Charlie,II M.Sc(M),21113,30
Bob,I M.Sc(M),46577,23
Bob,II M.Tech,27335,25
Bob,B.Sc(Hons),28588,28
Alice,I M.Tech,70,26
Alice,B.Sc(Hons),44443,26
Charlie,I M.Tech,82935,29
Bob,II M.Sc(M),65379,21
Bob,II M.Tech,32447,21
Bob,B.Sc(Hons),50648,27
Eva,I M.Sc(M),83004,30
David,B.Sc(Hons),14448,20
Alice,II M.Sc(M),88492,30
Eva,B.Sc(Hons),67680,23
Bob,B.Sc(Hons),47487,27
Charlie,II M.Sc(M),19934,21
Alice,I M.Sc(M),12567,30
Bob,II M.Sc(M),56433,27
Alice,II M.Sc(M),76449,28
Eva,I M.Tech,6717,26
Alice,I M.Tech,75113,24
Alice,II M.Sc(M),68183,24
Charlie,I M.Sc(M),80341,22
Eva,I M.Sc(M),54663,28
Alice,II M.Sc(M),44184,29
David,I M.Sc(M),69501,27
Eva,II M.Sc(M),29844,28
Bob,II M.Tech,58375,22
Eva,I M.Tech,81052,21
Bob,II M.Sc(M),1285,24
Bob,II M.Tech,84162,22
Bob,II M.Tech,8178,28
Charlie,I M.Sc(M),44436,26
Charlie,I M.Tech,95090,21
Alice,II M.Sc(M),21985,30
Eva,II M.Tech,9303,21
Alice,II M.Sc(M),24110,20
Alice,B.Sc(Hons),11671,25
David,I M.Tech,17811,27
Bob,II M.Tech,77103,30
Alice,I M.Tech,83994,23
Eva,I M.Sc(M),77352,30
Bob,II M.Tech,72285,30
Bob,I M.Sc(M),56910,22
David,II M.Tech,12900,28
Eva,I M.Tech,40709,20
Charlie,I M.Tech,10826,26
Alice,B.Sc(Hons),12758,20
Bob,I M.Sc(M),25125,29
David,II M.Tech,17546,29
Alice,II M.Tech,15785,23
Charlie,I M.Sc(M),93845,20
Charlie,B.Sc(Hons),15128,24
David,II M.Sc(M),2912,30
Alice,II M.Sc(M),87921,30
Alice,II M.Sc(M),44942,24
Eva,B.Sc(Hons),66944,22
Eva,B.Sc(Hons),12150,28
Eva,II M.Tech,38931,20
Alice,B.Sc(Hons),31192,27
Alice,II M.Sc(M),70866,25
David,B.Sc(Hons),55504,23
Eva,II M.Tech,72348,21
Bob,II M.Sc(M),94096,28
Alice,B.Sc(Hons),21634,30
Bob,B.Sc(Hons),60507,29
Alice,B.Sc(Hons),98340,21
Eva,I M.Tech,94516,20
Bob,B.Sc(Hons),60165,24
Eva,II M.Sc(M),82379,25
David,I M.Sc(M),94643,21
Eva,I M.Tech,22281,23
Alice,B.Sc(Hons),97523,22
Bob,II M.Sc(M),46254,26
David,I M.Tech,80358,29
Eva,II M.Tech,80040,21
Alice,I M.Tech,29533,23
Charlie,I M.Tech,28394,30
Eva,II M.Sc(M),4028,24
Charlie,I M.Sc(M),53215,25
Bob,I M.Tech,76467,22
David,I M.Sc(M),43665,25
Eva,II M.Sc(M),65155,30
Eva,II M.Tech,19009,30
Eva,II M.Sc(M),25988,29
Eva,II M.Tech,93327,24
Alice,II M.Tech,83187,24
Alice,B.Sc(Hons),13267,22
Charlie,B.Sc(Hons),57282,28
Eva,I M.Sc(M),95104,23
Bob,B.Sc(Hons),3369,30
Bob,I M.Tech,79477,25
Charlie,B.Sc(Hons),66035,29
David,II M.Sc(M),90341,22
Eva,I M.Sc(M),51685,20
Charlie,I M.Tech,65217,29
Eva,I M.Sc(M),21623,26
David,B.Sc(Hons),47021,26
Eva,I M.Sc(M),62323,22
Eva,II M.Tech,44185,27
Eva,I M.Tech,5879,26
Bob,I M.Sc(M),74164,22
Eva,II M.Tech,54630,23
David,B.Sc(Hons),4704,26
Bob,B.Sc(Hons),84672,30
Eva,I M.Sc(M),46155,30
Eva,I M.Sc(M),45663,27
Alice,II M.Tech,65332,22
David,I M.Sc(M),41752,27
Bob,B.Sc(Hons),15367,28
Alice,I M.Sc(M),69044,21
Charlie,I M.Sc(M),32702,24
David,II M.Sc(M),9870,21
Charlie,II M.Tech,47027,25
Bob,B.Sc(Hons),12397,22
Alice,I M.Tech,57718,26
Charlie,I M.Tech,34704,21
David,I M.Sc(M),11340,30
Bob,I M.Tech,23406,21
Eva,II M.Sc(M),15896,30
Charlie,I M.Sc(M),81169,21
David,I M.Tech,44369,29
Charlie,II M.Tech,16764,22
Bob,I M.Tech,38222,26
Bob,II M.Sc(M),11995,26
Bob,II M.Tech,87123,29
Charlie,I M.Tech,12665,23
David,II M.Tech,74162,27
Alice,B.Sc(Hons),13504,26
Charlie,B.Sc(Hons),37017,20
Bob,I M.Sc(M),50343,25
Alice,I M.Tech,17251,22
David,II M.Sc(M),24459,23
Eva,I M.Sc(M),53858,22
Bob,I M.Tech,97427,29
Charlie,I M.Tech,43345,27
Alice,II M.Tech,69147,20
Bob,I M.Sc(M),24920,25
Bob,II M.Sc(M),17202,29
Bob,II M.Sc(M),73347,29
David,I M.Sc(M),78242,25
Charlie,B.Sc(Hons),36062,23
David,B.Sc(Hons),84600,28
Bob,I M.Tech,59270,22
Eva,I M.Sc(M),64744,21
Bob,II M.Sc(M),73875,26
David,I M.Sc(M),25002,24
Charlie,I M.Sc(M),50325,27
Bob,I M.Sc(M),67491,21
David,I M.Tech,4395,22
David,B.Sc(Hons),1056,23
Bob,I M.Sc(M),12685,26
Charlie,II M.Sc(M),92132,28
David,II M.Tech,24192,28
Alice,I M.Sc(M),34821,27
David,B.Sc(Hons),66147,30
Eva,I M.Sc(M),68355,26
Charlie,B.Sc(Hons),75330,25
Eva,I M.Tech,23882,28
Charlie,I M.Sc(M),43928,22
Bob,B.Sc(Hons),6668,24
Bob,I M.Tech,33322,27
Eva,I M.Sc(M),56728,30
Alice,B.Sc(Hons),98775,28
David,B.Sc(Hons),49321,24
Charlie,B.Sc(Hons),82915,26
Eva,B.Sc(Hons),9850,25
Charlie,II M.Tech,33729,28
Alice,B.Sc(Hons),64190,21
David,I M.Sc(M),16269,22
Charlie,II M.Sc(M),70635,22
Bob,II M.Tech,74517,30
Alice,B.Sc(Hons),45887,23
Eva,II M.Sc(M),42475,20
David,II M.Tech,72721,27
David,II M.Sc(M),98303,25
Bob,II M.Sc(M),91437,29
Bob,I M.Tech,75355,29
David,I M.Tech,41399,27
Bob,II M.Tech,55203,21
David,I M.Tech,53492,26
Charlie,I M.Sc(M),18193,28
Alice,II M.Sc(M),1186,25
David,B.Sc(Hons),67968,24
David,I M.Tech,23878,29
Alice,II M.Tech,76398,26
Charlie,I M.Tech,41825,22
Eva,II M.Tech,16007,25
Charlie,I M.Tech,12145,21
David,I M.Tech,15516,25
Charlie,B.Sc(Hons),26740,25
David,I M.Tech,75042,24
Bob,I M.Tech,18609,26
Alice,II M.Tech,58746,27
Eva,II M.Tech,21474,25
Bob,I M.Sc(M),3489,25
Eva,I M.Sc(M),76024,23
Charlie,I M.Tech,71398,27
Eva,I M.Sc(M),41014,29
David,II M.Tech,10055,28
David,II M.Sc(M),53410,28
Charlie,I M.Tech,56464,22
Eva,I M.Sc(M),49486,30
Bob,II M.Tech,12886,21
Bob,B.Sc(Hons),10379,21
Charlie,II M.Tech,23983,29
Bob,I M.Sc(M),73394,23
Bob,II M.Tech,19186,26
Bob,II M.Tech,7273,23
Bob,I M.Sc(M),92648,30
Alice,B.Sc(Hons),62999,27
Alice,I M.Sc(M),53983,28
David,B.Sc(Hons),94053,29
Bob,I M.Tech,76712,21
Alice,I M.Tech,26929,26
Bob,I M.Tech,79142,26
Bob,B.Sc(Hons),97165,21
Charlie,II M.Tech,14411,27
Charlie,B.Sc(Hons),28747,28
David,I M.Tech,59591,23
Eva,II M.Sc(M),84907,26
David,II M.Sc(M),31683,26
Bob,B.Sc(Hons),25299,21
David,I M.Tech,80432,21
Charlie,II M.Tech,94804,23
Bob,II M.Tech,18555,20
Alice,I M.Sc(M),40070,26
Eva,I M.Tech,69249,29
David,B.Sc(Hons),57573,29
Alice,II M.Tech,78801,25
David,II M.Tech,89096,29
David,II M.Tech,88960,20
David,I M.Tech,37157,23
Alice,II M.Tech,4357,21
Eva,II M.Sc(M),58413,20
Charlie,I M.Tech,5841,24
Bob,I M.Sc(M),93667,27
Bob,I M.Tech,30540,22
Bob,B.Sc(Hons),57834,24
Charlie,II M.Sc(M),18386,23
Eva,B.Sc(Hons),7241,30
Eva,II M.Sc(M),85911,21
Charlie,I M.Tech,11790,24
Bob,I M.Sc(M),84506,25
Eva,I M.Tech,59702,25
Bob,II M.Sc(M),22537,22
David,B.Sc(Hons),87947,23
David,I M.Tech,92553,28
Eva,II M.Tech,16545,25
Bob,I M.Tech,82829,25
Eva,I M.Sc(M),79940,26
Charlie,I M.Tech,29561,25
Bob,I M.Tech,13543,20
David,I M.Tech,38768,20
Charlie,I M.Tech,87735,21
Eva,II M.Sc(M),72361,26
David,I M.Sc(M),69790,22
Charlie,I M.Sc(M),66312,25
Alice,II M.Sc(M),20158,25
Eva,I M.Sc(M),80789,22
Alice,B.Sc(Hons),54395,25
Charlie,II M.Tech,74776,28
David,B.Sc(Hons),80591,20
Eva,B.Sc(Hons),543,27
Eva,I M.Sc(M),68788,24
David,B.Sc(Hons),2649,29
David,II M.Tech,13761,21
David,B.Sc(Hons),74146,20
Bob,II M.Sc(M),9980,28
Alice,II M.Sc(M),64021,26
Eva,I M.Sc(M),20753,24
Alice,II M.Tech,72846,29
Eva,I M.Tech,51106,21
Eva,I M.Tech,88328,23
David,I M.Sc(M),29127,21
Charlie,II M.Sc(M),28451,21
Alice,I M.Sc(M),28336,22
Alice,II M.Tech,27969,20
Eva,B.Sc(Hons),32687,26
David,B.Sc(Hons),52297,21
Bob,I M.Tech,97459,27
Bob,II M.Tech,82521,27
Bob,II M.Tech,33636,30
Bob,II M.Sc(M),62054,28
Alice,II M.Sc(M),50665,29
Alice,II M.Tech,19585,24
Alice,II M.Sc(M),40299,28
Alice,I M.Sc(M),17516,20
Alice,I M.Sc(M),7265,23
Charlie,II M.Sc(M),10914,27
Bob,II M.Tech,46794,23
David,II M.Tech,45570,28
Charlie,I M.Sc(M),9418,24
Bob,I M.Tech,46694,20
Bob,B.Sc(Hons),15127,26
Alice,B.Sc(Hons),74099,27
Eva,B.Sc(Hons),83437,30
Alice,I M.Sc(M),29023,29
Eva,II M.Tech,16617,23
David,I M.Tech,99714,23
Eva,B.Sc(Hons),70033,23
Alice,I M.Tech,5541,28
Bob,B.Sc(Hons),76017,28
Alice,I M.Tech,42848,21
Eva,II M.Sc(M),40404,24
Charlie,B.Sc(Hons),52654,28
Bob,I M.Sc(M),15704,30
Eva,I M.Tech,51036,26
Charlie,II M.Tech,88948,20
Eva,I M.Sc(M),93404,21
David,I M.Sc(M),30088,30
Bob,B.Sc(Hons),36322,27
Charlie,II M.Sc(M),7548,29
Bob,II M.Sc(M),72153,21
Bob,B.Sc(Hons),59295,29
Eva,II M.Sc(M),93957,22
Charlie,B.Sc(Hons),91323,28
Bob,II M.Sc(M),56444,29
Charlie,II M.Sc(M),64658,22
Eva,I M.Sc(M),17207,28
Eva,II M.Sc(M),27463,21
Charlie,B.Sc(Hons),51346,27
Eva,II M.Tech,97156,23
Alice,II M.Sc(M),21677,23
Eva,I M.Sc(M),93927,26
Eva,B.Sc(Hons),26671,23
Charlie,I M.Tech,86678,27
Alice,II M.Sc(M),27179,29
Alice,I M.Tech,38406,30
Charlie,B.Sc(Hons),12830,20
Bob,I M.Tech,72275,21
Bob,I M.Tech,62392,23
Bob,I M.Sc(M),85962,22
Alice,B.Sc(Hons),37893,27
Bob,I M.Sc(M),28701,26
Charlie,II M.Sc(M),69988,29
Eva,II M.Sc(M),77084,29
Eva,B.Sc(Hons),87661,25
Alice,I M.Tech,23616,29
Eva,B.Sc(Hons),30593,28
Eva,II M.Tech,48717,21
Bob,B.Sc(Hons),24734,25
Bob,II M.Tech,43784,24
Charlie,II M.Sc(M),47189,22
Eva,II M.Sc(M),97873,29
Charlie,II M.Sc(M),37862,20
Alice,II M.Sc(M),27449,22
Alice,II M.Tech,1378,22
David,B.Sc(Hons),79645,28
David,I M.Sc(M),28309,21
David,II M.Sc(M),71632,27
Bob,B.Sc(Hons),80058,21
Bob,I M.Tech,80954,24
Bob,B.Sc(Hons),28289,24
Bob,II M.Sc(M),72104,26
Bob,B.Sc(Hons),13867,29
Bob,I M.Tech,62420,26
Bob,I M.Tech,8486,25
Eva,II M.Sc(M),24241,29
Eva,II M.Tech,58062,20
Charlie,I M.Sc(M),75635,28
David,II M.Tech,30797,25
Charlie,I M.Tech,21330,23
Charlie,I M.Tech,15336,28
Bob,II M.Tech,93126,29
Charlie,I M.Sc(M),30909,23
Alice,B.Sc(Hons),53132,27
Alice,I M.Sc(M),24591,28
Alice,I M.Sc(M),95928,25
David,I M.Sc(M),22287,21
Bob,I M.Tech,89590,21
Eva,II M.Tech,56313,20
Eva,II M.Sc(M),54347,27
Eva,II M.Sc(M),89781,20
Eva,I M.Tech,98821,30
Bob,I M.Tech,17081,29
Alice,II M.Sc(M),64446,22
Eva,II M.Tech,52824,29
Charlie,I M.Tech,66833,28
Alice,II M.Sc(M),63227,28
Alice,I M.Sc(M),70142,23
Eva,I M.Sc(M),49153,20
Alice,I M.Tech,18753,23
Alice,II M.Sc(M),35904,26
Charlie,B.Sc(Hons),69279,25
David,B.Sc(Hons),76477,24
Alice,B.Sc(Hons),31104,23
Bob,B.Sc(Hons),94735,22
Bob,II M.Sc(M),91721,22
Charlie,I M.Sc(M),30038,27
Charlie,II M.Sc(M),92840,24
Eva,B.Sc(Hons),38952,27
Alice,I M.Sc(M),79700,22
Charlie,II M.Sc(M),92624,22
Alice,B.Sc(Hons),11977,25
David,B.Sc(Hons),52882,21
Alice,II M.Sc(M),75271,29
Bob,I M.Sc(M),30200,20
Alice,II M.Tech,71688,27
Alice,II M.Sc(M),45643,22
Eva,I M.Sc(M),16458,24
Alice,I M.Sc(M),86649,25
David,II M.Sc(M),33778,29
Charlie,I M.Sc(M),13261,23
Alice,B.Sc(Hons),43727,27
Eva,B.Sc(Hons),51128,22
Bob,I M.Tech,84333,29
Alice,II M.Tech,67484,23
Charlie,I M.Tech,48362,29
Alice,I M.Tech,75395,27
David,B.Sc(Hons),89665,27
David,II M.Tech,6422,25
David,I M.Tech,54563,22
Charlie,II M.Sc(M),82727,26
David,B.Sc(Hons),1618,29
David,B.Sc(Hons),12617,28
David,I M.Sc(M),22878,29
Alice,II M.Sc(M),45216,24
Alice,II M.Sc(M),92710,28
Charlie,II M.Sc(M),56198,30
Bob,II M.Sc(M),69540,24
Charlie,II M.Tech,94388,21
Bob,II M.Sc(M),89629,29
Eva,I M.Tech,15180,20
Charlie,II M.Tech,95716,24
Bob,I M.Tech,78645,28
David,II M.Sc(M),40450,27
David,B.Sc(Hons),6134,27
Eva,II M.Tech,79591,27
David,II M.Tech,38390,23
Eva,B.Sc(Hons),12622,21
Alice,I M.Sc(M),46254,25
Eva,B.Sc(Hons),44273,30
Eva,I M.Tech,7280,20
David,B.Sc(Hons),48435,26
Alice,II M.Sc(M),97729,28
Eva,I M.Tech,74003,26
Alice,I M.Sc(M),29292,22
Charlie,B.Sc(Hons),27000,20
Bob,I M.Sc(M),96581,23
Charlie,I M.Sc(M),77114,23
Bob,I M.Sc(M),28903,23
Alice,B.Sc(Hons),82476,24
Eva,B.Sc(Hons),3172,24
Eva,I M.Tech,27323,29
Eva,B.Sc(Hons),87657,27
Bob,II M.Tech,26868,24
David,I M.Sc(M),18910,27
Alice,II M.Sc(M),31082,29
David,I M.Sc(M),19664,20
Eva,II M.Tech,24911,23
Eva,II M.Sc(M),26531,27
David,B.Sc(Hons),48581,23
Charlie,B.Sc(Hons),85920,20
Eva,I M.Sc(M),92079,29
David,I M.Sc(M),56455,20
Eva,II M.Sc(M),45380,22
Alice,I M.Sc(M),59122,21
Charlie,B.Sc(Hons),40925,25
Alice,II M.Sc(M),28454,26
David,I M.Sc(M),59497,23
Charlie,I M.Tech,97113,22
Charlie,I M.Tech,33428,25
Bob,II M.Sc(M),33370,26
Alice,I M.Sc(M),54031,25
David,II M.Sc(M),57056,23
David,II M.Tech,16923,27
Bob,II M.Tech,49419,22
Bob,I M.Tech,53022,24
Bob,II M.Sc(M),90991,26
Bob,I M.Tech,38293,21
Charlie,I M.Sc(M),43066,29
David,II M.Tech,60593,20
Bob,I M.Tech,44365,27
David,I M.Tech,73339,29
David,II M.Sc(M),69004,21
Charlie,I M.Sc(M),94760,20
Alice,II M.Sc(M),63296,29
Eva,B.Sc(Hons),75072,28
David,I M.Sc(M),41381,23
Eva,II M.Tech,99814,30
David,I M.Sc(M),10252,23
Charlie,II M.Sc(M),90186,29
Eva,B.Sc(Hons),88152,23
Alice,II M.Tech,82279,22
Charlie,B.Sc(Hons),84644,25
Alice,B.Sc(Hons),93424,23
David,II M.Sc(M),98014,28
Charlie,II M.Sc(M),312,26
David,B.Sc(Hons),25169,27
Alice,I M.Sc(M),43573,26
Eva,I M.Tech,46478,24
Eva,II M.Sc(M),47722,24
Charlie,II M.Tech,85855,20
Alice,II M.Tech,71919,20
Alice,II M.Tech,19977,22
Eva,II M.Sc(M),97538,20
Alice,I M.Sc(M),43689,27
David,B.Sc(Hons),19997,28
Bob,I M.Tech,81800,21
Alice,I M.Sc(M),87625,22
Eva,I M.Tech,56879,23
Charlie,I M.Sc(M),67703,26
Alice,II M.Sc(M),31586,28
Eva,B.Sc(Hons),74362,20
Alice,B.Sc(Hons),82220,24
Bob,II M.Sc(M),78139,23
Alice,B.Sc(Hons),93742,29
Eva,II M.Sc(M),71642,21
Bob,I M.Tech,25907,23
Charlie,I M.Sc(M),15667,24
Eva,B.Sc(Hons),20582,21
Bob,II M.Tech,74842,21
Charlie,II M.Sc(M),5057,29
David,B.Sc(Hons),91285,27
Alice,I M.Sc(M),90528,24
David,II M.Sc(M),58684,20
Eva,I M.Tech,37785,29
Bob,I M.Sc(M),60196,29
Bob,B.Sc(Hons),12091,25
Bob,B.Sc(Hons),53529,23
Charlie,I M.Tech,12176,29
David,I M.Tech,22504,23
Eva,II M.Sc(M),65820,26
Charlie,II M.Tech,54530,20
Eva,II M.Sc(M),86349,24
Charlie,I M.Tech,51992,28
David,II M.Tech,27204,21
Bob,I M.Tech,55637,24
Eva,II M.Tech,28570,27
Bob,I M.Tech,23722,23
Bob,B.Sc(Hons),34511,30
Alice,I M.Tech,8345,22
Charlie,II M.Sc(M),20905,20
David,II M.Sc(M),8040,23
Bob,II M.Sc(M),67637,23
Alice,II M.Sc(M),62390,27
Bob,II M.Sc(M),43960,23
Eva,II M.Sc(M),39324,30
Charlie,II M.Tech,94972,20
Alice,I M.Tech,83685,23
Charlie,I M.Tech,99088,22
Alice,I M.Sc(M),49613,27
Eva,B.Sc(Hons),52193,27
Eva,II M.Tech,68400,27
Bob,II M.Sc(M),28136,28
Bob,II M.Sc(M),23018,28
Eva,II M.Sc(M),9918,21
Bob,II M.Sc(M),67291,27
Eva,I M.Tech,43004,25
Bob,B.Sc(Hons),23105,27
Charlie,II M.Sc(M),15379,30
Charlie,I M.Tech,37348,24
David,II M.Tech,2253,25
Charlie,I M.Sc(M),47081,22
David,I M.Sc(M),66664,28
Charlie,I M.Tech,9728,28
Charlie,II M.Tech,74673,30
Eva,I M.Sc(M),90138,21
David,II M.Sc(M),655,29
Bob,I M.Sc(M),77385,26
Charlie,II M.Tech,84179,26
Charlie,II M.Tech,30328,23
Bob,B.Sc(Hons),23932,21
Bob,II M.Sc(M),97490,24
Charlie,I M.Sc(M),26961,22
David,II M.Tech,4098,20
Charlie,I M.Sc(M),62786,28
David,II M.Tech,89245,25
David,I M.Sc(M),89744,24
Charlie,II M.Tech,38475,27
Bob,B.Sc(Hons),4454,30
Alice,I M.Tech,8636,29
Bob,I M.Tech,7549,20
Bob,I M.Sc(M),58038,23
David,II M.Tech,96780,27
Charlie,II M.Sc(M),27000,20
Charlie,I M.Sc(M),85155,28
Charlie,I M.Tech,49134,24
Bob,II M.Tech,6845,20
Eva,II M.Sc(M),1836,24
Eva,II M.Sc(M),26728,30
Charlie,I M.Tech,52186,20
David,I M.Sc(M),74189,22
Bob,II M.Sc(M),39434,26
David,B.Sc(Hons),65262,24
Charlie,I M.Sc(M),60956,29
Alice,I M.Sc(M),37940,21
Charlie,II M.Tech,16314,24
Alice,II M.Sc(M),30210,24
Eva,I M.Sc(M),18813,27
Alice,I M.Sc(M),32730,20
Charlie,I M.Sc(M),73895,23
Bob,I M.Sc(M),19659,30
Charlie,II M.Tech,8079,28
Bob,II M.Sc(M),48413,27
Charlie,I M.Tech,61011,28
David,I M.Sc(M),81497,27
Charlie,I M.Sc(M),13379,28
Eva,I M.Sc(M),87616,28
Alice,II M.Tech,11737,23
Alice,II M.Sc(M),16324,28
Bob,I M.Tech,79628,28
Bob,I M.Tech,41804,28
Eva,I M.Sc(M),9864,23
Alice,II M.Tech,49945,25
Bob,I M.Tech,51629,27
Eva,I M.Tech,25539,22
Bob,B.Sc(Hons),26971,25
Eva,I M.Sc(M),28467,26
Charlie,II M.Sc(M),60835,27
Alice,B.Sc(Hons),6057,24
Bob,B.Sc(Hons),96043,25
David,II M.Tech,34103,25
Bob,II M.Tech,19199,26
David,II M.Tech,42993,24
Charlie,B.Sc(Hons),86999,20
Eva,B.Sc(Hons),3217,24
Charlie,II M.Tech,64463,25
Charlie,I M.Tech,68783,27
Bob,II M.Tech,37049,30
Charlie,B.Sc(Hons),83185,30
Eva,II M.Sc(M),26653,23
Charlie,I M.Tech,47874,21
Bob,II M.Tech,66866,27
Bob,B.Sc(Hons),93670,26
Eva,II M.Sc(M),38002,27
Charlie,I M.Sc(M),61673,22
Charlie,II M.Tech,9410,24
Charlie,I M.Sc(M),85601,22
Bob,II M.Sc(M),59330,22
Charlie,II M.Tech,38900,25
Eva,B.Sc(Hons),28,23
Alice,I M.Sc(M),19227,27
Alice,II M.Sc(M),46404,24
David,I M.Tech,56341,28
David,B.Sc(Hons),95057,20
David,II M.Tech,48082,21
Bob,B.Sc(Hons),47753,25
Alice,II M.Sc(M),69407,25
David,II M.Tech,22049,22
Eva,II M.Tech,47309,26
Eva,II M.Tech,46925,27
Bob,I M.Sc(M),31165,26
David,II M.Sc(M),8800,27
Charlie,I M.Sc(M),87111,26
Charlie,B.Sc(Hons),25597,24
Alice,I M.Tech,73726,26
Alice,I M.Sc(M),34376,23
David,B.Sc(Hons),671,25
David,I M.Tech,86917,22
Alice,B.Sc(Hons),75971,24
Bob,II M.Sc(M),54850,26
David,I M.Sc(M),79049,20
Alice,B.Sc(Hons),37269,21
David,II M.Sc(M),42501,28
David,I M.Tech,24384,28
Charlie,I M.Sc(M),33212,29
Alice,II M.Sc(M),23535,29
Alice,II M.Sc(M),30850,21
David,I M.Sc(M),12003,29
David,II M.Sc(M),19148,23
Bob,II M.Tech,36632,21
Charlie,II M.Sc(M),26248,22
Alice,I M.Sc(M),26881,23
David,I M.Tech,53075,27
Alice,II M.Tech,89466,25
Charlie,II M.Tech,31854,30
David,I M.Tech,7858,26
Bob,II M.Sc(M),50826,25
David,I M.Tech,2242,20
Eva,B.Sc(Hons),63276,28
David,II M.Tech,83483,24
Bob,I M.Sc(M),61351,22
Bob,I M.Tech,7758,20
Charlie,I M.Tech,83094,22
Eva,I M.Sc(M),50565,29
Charlie,II M.Sc(M),56917,24
Charlie,I M.Sc(M),60809,21
David,I M.Tech,50191,21
Bob,B.Sc(Hons),64830,27
David,I M.Tech,24544,25
Eva,I M.Tech,13576,22
Charlie,II M.Tech,50825,23
Bob,I M.Sc(M),1315,22
Alice,B.Sc(Hons),59725,25
Bob,I M.Sc(M),53592,21
Eva,I M.Sc(M),52640,29
Alice,B.Sc(Hons),40529,29
Charlie,I M.Tech,28881,26
Eva,B.Sc(Hons),81821,20
David,I M.Sc(M),67953,30
David,I M.Tech,35870,26
Charlie,B.Sc(Hons),63525,23
Eva,I M.Tech,44219,23
Charlie,B.Sc(Hons),5582,30
David,B.Sc(Hons),8983,29
Bob,II M.Tech,97890,22
Alice,II M.Tech,17339,23
Eva,B.Sc(Hons),97365,21
David,B.Sc(Hons),42000,25
David,I M.Sc(M),65716,28
David,I M.Tech,68907,27
Charlie,I M.Tech,37060,24
Alice,II M.Tech,54365,28
David,II M.Sc(M),20240,27
Alice,II M.Tech,83428,30
David,II M.Sc(M),41018,24
Eva,I M.Tech,40072,24
Charlie,I M.Sc(M),15243,29
Charlie,B.Sc(Hons),99104,25
David,II M.Tech,52796,25
Eva,I M.Tech,95731,30
Eva,B.Sc(Hons),16465,27
Bob,B.Sc(Hons),2503,20
David,I M.Tech,69031,29
Eva,B.Sc(Hons),50813,26
Eva,B.Sc(Hons),56464,27
Bob,B.Sc(Hons),70374,30
Alice,B.Sc(Hons),11463,29
David,I M.Sc(M),15746,29
David,I M.Sc(M),98259,30
Eva,B.Sc(Hons),8793,21
David,II M.Tech,56818,25
Eva,B.Sc(Hons),15114,29
Charlie,I M.Tech,81648,21
Bob,B.Sc(Hons),59480,26
Bob,II M.Sc(M),72518,23
David,I M.Tech,13809,29
David,I M.Tech,15288,30
Alice,II M.Tech,1483,22
Alice,B.Sc(Hons),14289,20
Alice,II M.Sc(M),50542,28
David,I M.Tech,80474,27
Alice,II M.Tech,48927,26
Charlie,I M.Sc(M),39700,21
David,I M.Tech,7341,24
Charlie,B.Sc(Hons),14769,21
Bob,I M.Tech,23152,25
Alice,I M.Sc(M),96247,27
Bob,I M.Sc(M),23979,30
Charlie,II M.Sc(M),75630,24
Eva,B.Sc(Hons),62015,30
Eva,I M.Sc(M),99703,28
Eva,II M.Sc(M),588,25
Eva,II M.Tech,12824,28
Charlie,II M.Sc(M),15658,28
David,I M.Sc(M),6454,21
David,I M.Sc(M),53141,26
Eva,II M.Sc(M),29133,22
Bob,II M.Tech,87440,25
Bob,I M.Tech,61497,22
Alice,I M.Tech,91893,22
Charlie,B.Sc(Hons),47457,22
Charlie,II M.Sc(M),15035,26
Bob,II M.Tech,88686,28
Eva,II M.Sc(M),74816,29
David,II M.Sc(M),58293,30
Bob,II M.Sc(M),53665,20
Alice,I M.Sc(M),29541,21
David,B.Sc(Hons),21167,22
Bob,II M.Sc(M),56746,22
Bob,I M.Tech,84717,30
Charlie,II M.Sc(M),29150,26
Eva,I M.Sc(M),18049,24
Eva,I M.Tech,1357,29
Bob,I M.Sc(M),57103,21
David,II M.Sc(M),63921,30
Charlie,I M.Tech,56995,26
Charlie,II M.Sc(M),56193,20
Bob,II M.Sc(M),44550,26
Eva,B.Sc(Hons),86858,22
David,II M.Sc(M),64681,20
Alice,I M.Sc(M),75893,23
David,I M.Sc(M),24553,23
Charlie,B.Sc(Hons),91336,27
Alice,B.Sc(Hons),83142,23
Charlie,I M.Sc(M),30368,29
Charlie,I M.Sc(M),18152,30
Eva,II M.Sc(M),28750,27
David,II M.Sc(M),72174,24
Charlie,I M.Tech,3642,23
Alice,II M.Sc(M),26317,21
David,I M.Sc(M),56721,25
Charlie,I M.Tech,77168,30
Alice,II M.Tech,79090,24
Alice,B.Sc(Hons),59776,22
Charlie,II M.Sc(M),36349,27
Alice,B.Sc(Hons),4426,26
Eva,I M.Sc(M),86864,30
Bob,I M.Sc(M),83704,20
David,I M.Sc(M),56559,29
Eva,II M.Tech,96354,21
Bob,I M.Tech,64352,25
Eva,B.Sc(Hons),19985,20
Charlie,II M.Tech,29653,29
Eva,II M.Sc(M),25272,22
Alice,I M.Sc(M),43585,22
David,II M.Tech,40167,20
Eva,I M.Sc(M),87843,27
Bob,I M.Tech,21676,28
Charlie,I M.Tech,58920,26
Bob,II M.Tech,20633,29
David,B.Sc(Hons),73538,25
Bob,II M.Tech,39725,28
